,component,cui,name
1648,vascular disease,S-460380002,Systemic to pulmonary collateral artery from right brachiocephalic artery (disorder)
1649,vascular disease,S-297148004,Celiac artery thrombosis (disorder)
1650,vascular disease,S-210839004,Ulnar blood vessel injury (disorder)
1651,vascular disease,S-204189006,Congenital stricture of retinal artery (disorder)
1652,vascular disease,S-447772003,Persisting fifth aortic arch with double barrell arch (disorder)
1653,vascular disease,S-204423002,Anomalous origin of the aortic arch (disorder)
1654,vascular disease,S-426651005,Occlusion of bilateral carotid arteries (disorder)
1655,vascular disease,S-195421009,Phlebitis of the common iliac vein (disorder)
1656,vascular disease,S-16012831000119109,Thrombosis of artery of left lower extremity (disorder)
1657,vascular disease,S-63934006,Overriding aorta (disorder)
1658,vascular disease,S-306851004,Occlusion of aortic bifurcation bypass graft (disorder)
1659,vascular disease,S-297940005,Drug-induced erythema nodosum (disorder)
1660,vascular disease,S-28840001,"Generalized pustular psoriasis, exanthematous type (disorder)"
1661,vascular disease,S-12237111000119107,Pain at rest of left lower limb co-occurrent and due to atherosclerosis (disorder)
1662,vascular disease,S-699301008,Multiple venous malformation of skin and mucous membrane (disorder)
1663,vascular disease,S-842721000000102,Occlusion of anterior tibial artery (disorder)
1664,vascular disease,S-204431007,Atresia and stenosis of aorta (disorder)
1665,vascular disease,S-195324000,Embolism and thrombosis of the popliteal artery (disorder)
1666,vascular disease,S-233839009,Old anterior myocardial infarction (disorder)
1667,vascular disease,S-12238111000119106,Acute ST segment elevation myocardial infarction of inferolateral wall (disorder)
1668,vascular disease,S-57054005,Acute myocardial infarction (disorder)
1669,vascular disease,S-703164000,Acute ST segment elevation myocardial infarction of anterior wall (disorder)
1670,vascular disease,S-233830008,Acute non-Q wave infarction - inferior (disorder)
1671,vascular disease,S-233841005,Old lateral myocardial infarction (disorder)
1672,vascular disease,S-233833005,Acute Q wave infarction - lateral (disorder)
1673,vascular disease,S-194856005,Subsequent myocardial infarction (disorder)
1674,vascular disease,S-12238151000119107,Acute ST segment elevation myocardial infarction of inferoposterior wall (disorder)
1675,vascular disease,S-1089451000000100,Acute nontransmural myocardial infarction (disorder)
1676,vascular disease,S-15713161000119100,Acute ST segment elevation myocardial infarction of septum (disorder)
1677,vascular disease,S-703213009,Acute ST segment elevation myocardial infarction of inferior wall (disorder)
1678,vascular disease,S-233832000,Acute non-Q wave infarction - inferolateral (disorder)
1679,vascular disease,S-54329005,Acute myocardial infarction of anterior wall (disorder)
1680,vascular disease,S-233838001,Acute posterior myocardial infarction (disorder)
1681,vascular disease,S-52035003,Acute anteroapical myocardial infarction (disorder)
1682,vascular disease,S-1089441000000103,Postoperative transmural myocardial infarction (disorder)
1683,vascular disease,S-70998009,Acute myocardial infarction of posterobasal wall (disorder)
1684,vascular disease,S-59063002,Acute myocardial infarction of apical-lateral wall (disorder)
1685,vascular disease,S-703209002,Subsequent ST segment elevation myocardial infarction of inferior wall (disorder)
1686,vascular disease,S-703211006,Subsequent ST segment elevation myocardial infarction (disorder)
1687,vascular disease,S-233842003,Old posterior myocardial infarction (disorder)
1688,vascular disease,S-194809007,Acute atrial infarction (disorder)
1689,vascular disease,S-15713121000119105,Acute ST segment elevation myocardial infarction due to right coronary artery occlusion (disorder)
1690,vascular disease,S-371068009,Myocardial infarction with complication (disorder)
1691,vascular disease,S-233829003,Acute Q wave infarction - inferior (disorder)
1692,vascular disease,S-79009004,Acute myocardial infarction of septum (disorder)
1693,vascular disease,S-1089471000000109,Acute transmural myocardial infarction (disorder)
1694,vascular disease,S-233843008,Silent myocardial infarction (disorder)
1695,vascular disease,S-703253007,Acute ST segment elevation myocardial infarction of inferior wall involving right ventricle (disorder)
1696,vascular disease,S-233826005,Acute non-Q wave infarction - anteroseptal (disorder)
1697,vascular disease,S-285981000119103,Acute ST segment elevation myocardial infarction involving left anterior descending coronary artery (disorder)
1698,vascular disease,S-233834004,Acute non-Q wave infarction - lateral (disorder)
1699,vascular disease,S-304914007,Acute Q wave myocardial infarction (disorder)
1700,vascular disease,S-10273003,Acute infarction of papillary muscle (disorder)
1701,vascular disease,S-703360004,Subsequent non-ST segment elevation myocardial infarction (disorder)
1702,vascular disease,S-428196007,Mixed myocardial ischemia and infarction (disorder)
1703,vascular disease,S-15712841000119100,Acute ST segment elevation myocardial infarction of posterolateral wall (disorder)
1704,vascular disease,S-15713081000119108,Acute ST segment elevation myocardial infarction due to left coronary artery occlusion (disorder)
1705,vascular disease,S-401314000,Acute non-ST segment elevation myocardial infarction (disorder)
1706,vascular disease,S-233827001,Acute Q wave infarction - anterolateral (disorder)
1707,vascular disease,S-307140009,Acute non-Q wave infarction (disorder)
1708,vascular disease,S-233837006,Acute non-Q wave infarction - widespread (disorder)
1709,vascular disease,S-23311000119105,Acute myocardial infarction due to right coronary artery occlusion (disorder)
1710,vascular disease,S-15712961000119108,Acute ST segment elevation myocardial infarction of anteroseptal wall (disorder)
1711,vascular disease,S-1089431000000107,Postoperative nontransmural myocardial infarction (disorder)
1712,vascular disease,S-285991000119100,Acute ST segment elevation myocardial infarction involving left main coronary artery (disorder)
1713,vascular disease,S-233840006,Old inferior myocardial infarction (disorder)
1714,vascular disease,S-418044006,Myocardial infarction in recovery phase (disorder)
1715,vascular disease,S-1755008,Old myocardial infarction (disorder)
1716,vascular disease,S-62695002,Acute anteroseptal myocardial infarction (disorder)
1717,vascular disease,S-233825009,Acute Q wave infarction - anteroseptal (disorder)
1718,vascular disease,S-233831007,Acute Q wave infarction - inferolateral (disorder)
1719,vascular disease,S-15713201000119105,Acute ST segment elevation myocardial infarction of posterobasal wall (disorder)
1720,vascular disease,S-17531000119105,Acute myocardial infarction due to left coronary artery occlusion (disorder)
1721,vascular disease,S-194802003,True posterior myocardial infarction (disorder)
1722,vascular disease,S-15990001,Acute myocardial infarction of posterolateral wall (disorder)
1723,vascular disease,S-76593002,Acute myocardial infarction of inferoposterior wall (disorder)
1724,vascular disease,S-70422006,Acute subendocardial infarction (disorder)
1725,vascular disease,S-311792005,Postoperative transmural myocardial infarction of anterior wall (disorder)
1726,vascular disease,S-15713041000119103,Acute ST segment elevation myocardial infarction of posterior wall (disorder)
1727,vascular disease,S-282006,Acute myocardial infarction of basal-lateral wall (disorder)
1728,vascular disease,S-30277009,Acute myocardial infarction with rupture of ventricle (disorder)
1729,vascular disease,S-233828006,Acute non-Q wave infarction - anterolateral (disorder)
1730,vascular disease,S-703251009,Acute myocardial infarction of inferior wall involving right ventricle (disorder)
1731,vascular disease,S-314207007,Non-Q wave myocardial infarction (disorder)
1732,vascular disease,S-194857001,Subsequent myocardial infarction of anterior wall (disorder)
1733,vascular disease,S-394710008,First myocardial infarction (disorder)
1734,vascular disease,S-703252002,Acute myocardial infarction of anterior wall involving right ventricle (disorder)
1735,vascular disease,S-73795002,Acute myocardial infarction of inferior wall (disorder)
1736,vascular disease,S-70211005,Acute myocardial infarction of anterolateral wall (disorder)
1737,vascular disease,S-703165004,Acute ST segment elevation myocardial infarction of anterior wall involving right ventricle (disorder)
1738,vascular disease,S-65547006,Acute myocardial infarction of inferolateral wall (disorder)
1739,vascular disease,S-233835003,Acute widespread myocardial infarction (disorder)
1740,vascular disease,S-15712881000119105,Acute ST segment elevation myocardial infarction of anterolateral wall (disorder)
1741,vascular disease,S-401303003,Acute ST segment elevation myocardial infarction (disorder)
1742,vascular disease,S-22298006,Myocardial infarction (disorder)
1743,vascular disease,S-194858006,Subsequent myocardial infarction of inferior wall (disorder)
1744,vascular disease,S-703210007,Subsequent ST segment elevation myocardial infarction of anterior wall (disorder)
1745,vascular disease,S-42531007,Microinfarct of heart (disorder)
1746,vascular disease,S-703212004,Acute myocardial infarction during procedure (disorder)
1747,vascular disease,S-64627002,Acute myocardial infarction of high lateral wall (disorder)
1748,vascular disease,S-58612006,Acute myocardial infarction of lateral wall (disorder)
1749,vascular disease,S-311796008,Postoperative subendocardial myocardial infarction (disorder)
1750,vascular disease,S-15712921000119103,Acute ST segment elevation myocardial infarction of lateral wall (disorder)
1751,vascular disease,S-311793000,Postoperative transmural myocardial infarction of inferior wall (disorder)
1752,vascular disease,S-233836002,Acute Q wave infarction - widespread (disorder)
1753,vascular disease,S-129574000,Postoperative myocardial infarction (disorder)
1754,vascular disease,S-32574007,"Past myocardial infarction diagnosed on electrocardiogram AND/OR other special investigation, but currently presenting no symptoms (disorder)"
1755,Age 65-74,Age_65-74,
1756,stroke,S-16024111000119109,Cerebrovascular accident due to occlusion of left carotid artery (disorder)
1757,stroke,S-106016005,"Intracranial sinus thrombosis, embolism AND/OR inflammation (disorder)"
1758,stroke,S-14070001,Multi-infarct dementia with depression (disorder)
1759,stroke,S-56267009,Multi-infarct dementia (disorder)
1760,stroke,S-195212005,Brainstem stroke syndrome (disorder)
1761,stroke,S-292681000119101,Cerebrovascular accident due to occlusion of right vertebral artery (disorder)
1762,stroke,S-277320000,Ruptured aneurysm of anterior communicating artery (disorder)
1763,stroke,S-16002111000119106,Cerebrovascular accident due to thrombus of left middle cerebral artery (disorder)
1764,stroke,S-276220007,Foville syndrome (disorder)
1765,stroke,S-277319006,Ruptured aneurysm of posterior cerebral artery (disorder)
1766,stroke,S-57981008,Progressing stroke (disorder)
1767,stroke,S-16024151000119105,Cerebrovascular accident due to occlusion of left cerebellar artery (disorder)
1768,stroke,S-329371000119101,Cerebrovascular accident due to occlusion of left middle cerebral artery by embolus (disorder)
1769,stroke,S-371041009,Embolic stroke (disorder)
1770,stroke,S-444657001,Superior cerebellar artery syndrome (disorder)
1771,stroke,S-371040005,Thrombotic stroke (disorder)
1772,stroke,S-330791000119108,Cerebrovascular accident due to thrombus of left carotid artery (disorder)
1773,stroke,S-78569004,Posterior inferior cerebellar artery syndrome (disorder)
1774,stroke,S-722929005,Perinatal arterial ischemic stroke (disorder)
1775,stroke,S-195213000,Cerebellar stroke syndrome (disorder)
1776,stroke,S-16371781000119100,Cerebellar stroke (disorder)
1777,stroke,S-413102000,Infarction of basal ganglia (disorder)
1778,stroke,S-230714009,Anterior circulation stroke of uncertain pathology (disorder)
1779,stroke,S-60706008,Phlebitis of torcular Herophili (disorder)
1780,stroke,S-277315000,Ruptured aneurysm of anterior cerebral artery (disorder)
1781,stroke,S-275434003,Stroke in the puerperium (disorder)
1782,stroke,S-25133001,Completed stroke (disorder)
1783,stroke,S-230691006,Cerebrovascular accident due to occlusion of cerebral artery (disorder)
1784,stroke,S-16023991000119104,Cerebrovascular accident due to occlusion of left pontine artery (disorder)
1785,stroke,S-88755007,Phlebitis of lateral venous sinus (disorder)
